[14:24:54] [INFO] received Windows console close event; shutting log-core down
[14:25:33] [INFO] received Windows console close event; shutting log-core down
[14:25:37] [INFO] received Windows console close event; shutting log-core down
[14:26:12] [INFO] received Windows console close event; shutting log-core down
[14:26:44] [INFO] received Windows console close event; shutting log-core down
[14:28:00] [INFO] received Windows console close event; shutting log-core down
[14:54:50] [INFO] received Windows console close event; shutting log-core down
[14:55:04] [INFO] received Windows console close event; shutting log-core down
[15:03:50] [INFO] received Windows console close event; shutting log-core down
[15:37:49] [INFO] received Windows console close event; shutting log-core down
[20:45:28] [INFO] received Windows console close event; shutting log-core down
[21:08:17] [INFO] received Windows console close event; shutting log-core down
[21:35:24] [INFO] received Windows console close event; shutting log-core down
[21:37:13] [INFO] received Windows console close event; shutting log-core down
[21:41:17] [INFO] received Windows console close event; shutting log-core down
[22:29:59] [INFO] received Windows console close event; shutting log-core down
[22:51:15] [INFO] received Windows console close event; shutting log-core down
[23:12:06] [INFO] received Windows console close event; shutting log-core down
[23:33:53] [INFO] received Windows console close event; shutting log-core down
[23:33:59] [INFO] received Windows console close event; shutting log-core down
[23:35:40] [INFO] received Windows console close event; shutting log-core down
[23:38:08] [INFO] received Windows console close event; shutting log-core down
[23:42:31] [INFO] received Windows console close event; shutting log-core down
[23:43:58] [INFO] received Windows console close event; shutting log-core down
[23:53:07] [INFO] received Windows console close event; shutting log-core down
[00:17:08] [INFO] received Windows console close event; shutting log-core down
[00:19:49] [INFO] received Windows console close event; shutting log-core down
[00:21:14] [INFO] received Windows console close event; shutting log-core down
[00:23:03] [INFO] received Windows console close event; shutting log-core down
[00:28:18] [INFO] received Windows console close event; shutting log-core down
[01:03:13] [INFO] received Windows console close event; shutting log-core down
[01:06:06] [INFO] received Windows console close event; shutting log-core down
[01:17:21] [INFO] received Windows console close event; shutting log-core down
[01:29:44] [INFO] received Windows console close event; shutting log-core down
[01:32:45] [INFO] received Windows console close event; shutting log-core down
[12:14:12] [INFO] received Windows console close event; shutting log-core down
[18:00:17] [INFO] received Windows console close event; shutting log-core down
[18:03:36] [INFO] received Windows console close event; shutting log-core down
[18:04:42] [INFO] received Windows console close event; shutting log-core down
[18:09:55] [INFO] received Windows console close event; shutting log-core down
[22:19:54] [INFO] received Windows console close event; shutting log-core down
[15:10:29] [INFO] received Windows console close event; shutting log-core down
[15:39:22] [INFO] received Windows console close event; shutting log-core down
[15:48:32] [INFO] received Windows console close event; shutting log-core down
[16:09:47] [INFO] received Windows console close event; shutting log-core down
[17:26:11] [INFO] received Windows console close event; shutting log-core down
[17:29:01] [INFO] received Windows console close event; shutting log-core down
[17:33:55] [INFO] received Windows console close event; shutting log-core down
[17:34:01] [INFO] received Windows console close event; shutting log-core down
[17:34:26] [INFO] received Windows console close event; shutting log-core down
[17:39:08] [INFO] received Windows console close event; shutting log-core down
[17:53:01] [INFO] received Windows console close event; shutting log-core down
[17:53:37] [INFO] received Windows console close event; shutting log-core down
[17:55:24] [INFO] received Windows console close event; shutting log-core down
[17:55:35] [INFO] received Windows console close event; shutting log-core down
[17:56:18] [INFO] received Windows console close event; shutting log-core down
[17:58:46] [INFO] received Windows console close event; shutting log-core down
[18:05:16] [INFO] received Windows console close event; shutting log-core down
[18:05:59] [INFO] received Windows console close event; shutting log-core down
[20:26:29] [INFO] received Windows console close event; shutting log-core down
[20:27:05] [INFO] received Windows console close event; shutting log-core down
[20:46:34] [INFO] received Windows console close event; shutting log-core down
[20:47:32] [INFO] received Windows console close event; shutting log-core down
[20:51:24] [INFO] received Windows console close event; shutting log-core down
[20:55:18] [INFO] received Windows console close event; shutting log-core down
[20:55:38] [INFO] received Windows console close event; shutting log-core down
[20:56:38] [INFO] received Windows console close event; shutting log-core down
[20:57:33] [INFO] received Windows console close event; shutting log-core down
[21:04:27] [INFO] received Windows console close event; shutting log-core down
[21:13:48] [INFO] received Windows console close event; shutting log-core down
[21:30:23] [INFO] received Windows console close event; shutting log-core down
[17:26:53] [INFO] received Windows console close event; shutting log-core down
[17:27:41] [INFO] received Windows console close event; shutting log-core down
[17:33:34] [INFO] received Windows console close event; shutting log-core down
[17:34:10] [INFO] received Windows console close event; shutting log-core down
[17:36:29] [INFO] received Windows console close event; shutting log-core down
[17:36:43] [INFO] received Windows console close event; shutting log-core down
[17:50:31] [INFO] received Windows console close event; shutting log-core down
[17:51:19] [INFO] received Windows console close event; shutting log-core down
[17:56:15] [INFO] received Windows console close event; shutting log-core down
[17:57:38] [INFO] received Windows console close event; shutting log-core down
[17:57:47] [INFO] received Windows console close event; shutting log-core down
[18:00:04] [INFO] received Windows console close event; shutting log-core down
[18:00:25] [INFO] received Windows console close event; shutting log-core down
[18:00:35] [INFO] received Windows console close event; shutting log-core down
[18:00:45] [INFO] received Windows console close event; shutting log-core down
[18:02:49] [INFO] received Windows console close event; shutting log-core down
[18:05:38] [INFO] received Windows console close event; shutting log-core down
[18:09:32] [INFO] received Windows console close event; shutting log-core down
[18:10:38] [INFO] received Windows console close event; shutting log-core down
[18:17:05] [INFO] received Windows console close event; shutting log-core down
[18:57:57] [INFO] received Windows console close event; shutting log-core down
[18:58:02] [INFO] received Windows console close event; shutting log-core down
[19:00:11] [INFO] received Windows console close event; shutting log-core down
[19:01:43] [INFO] received Windows console close event; shutting log-core down
[19:03:38] [INFO] received Windows console close event; shutting log-core down
[19:08:01] [INFO] received Windows console close event; shutting log-core down
[19:24:21] [INFO] received Windows console close event; shutting log-core down
[19:40:47] [INFO] received Windows console close event; shutting log-core down
[19:49:20] [INFO] received Windows console close event; shutting log-core down
[20:00:51] [INFO] received Windows console close event; shutting log-core down
[20:03:46] [INFO] received Windows console close event; shutting log-core down
[20:05:59] [INFO] received Windows console close event; shutting log-core down
[20:15:37] [INFO] received Windows console close event; shutting log-core down
[20:24:07] [INFO] received Windows console close event; shutting log-core down
[20:25:41] [INFO] received Windows console close event; shutting log-core down
[20:29:00] [INFO] received Windows console close event; shutting log-core down
[20:29:05] [INFO] received Windows console close event; shutting log-core down
[20:33:53] [INFO] received Windows console close event; shutting log-core down
[20:35:21] [INFO] received Windows console close event; shutting log-core down
[20:39:37] [INFO] received Windows console close event; shutting log-core down
[20:43:08] [INFO] received Windows console close event; shutting log-core down
[20:46:35] [INFO] received Windows console close event; shutting log-core down
[20:46:52] [INFO] received Windows console close event; shutting log-core down
[20:49:19] [INFO] received Windows console close event; shutting log-core down
[21:06:47] [INFO] received Windows console close event; shutting log-core down
[21:32:33] [INFO] received Windows console close event; shutting log-core down
[21:33:11] [INFO] received Windows console close event; shutting log-core down
[21:34:44] [INFO] received Windows console close event; shutting log-core down
[23:30:11] [INFO] received Windows console close event; shutting log-core down
[23:33:47] [INFO] received Windows console close event; shutting log-core down
[23:54:10] [INFO] received Windows console close event; shutting log-core down
[23:57:56] [INFO] received Windows console close event; shutting log-core down
[00:00:18] [INFO] received Windows console close event; shutting log-core down
[00:02:04] [INFO] received Windows console close event; shutting log-core down
[00:05:14] [INFO] received Windows console close event; shutting log-core down
[00:05:19] [INFO] received Windows console close event; shutting log-core down
[00:05:22] [INFO] received Windows console close event; shutting log-core down
[00:06:14] [INFO] received Windows console close event; shutting log-core down
[00:07:18] [INFO] received Windows console close event; shutting log-core down
[00:11:23] [INFO] received Windows console close event; shutting log-core down
[00:18:30] [INFO] received Windows console close event; shutting log-core down
[00:18:34] [INFO] received Windows console close event; shutting log-core down
[00:19:28] [INFO] received Windows console close event; shutting log-core down
[00:19:35] [INFO] received Windows console close event; shutting log-core down
[00:30:48] [INFO] received Windows console close event; shutting log-core down
[00:47:44] [INFO] received Windows console close event; shutting log-core down
[00:55:43] [INFO] received Windows console close event; shutting log-core down
[01:02:42] [INFO] received Windows console close event; shutting log-core down
[01:30:01] [INFO] received Windows console close event; shutting log-core down
[13:15:17] [INFO] received Windows console close event; shutting log-core down
[13:15:22] [INFO] received Windows console close event; shutting log-core down
[13:15:26] [INFO] received Windows console close event; shutting log-core down
[13:17:39] [INFO] received Windows console close event; shutting log-core down
[13:27:26] [INFO] received Windows console close event; shutting log-core down
[13:30:11] [INFO] received Windows console close event; shutting log-core down
[14:07:30] [INFO] received Windows console close event; shutting log-core down
[14:09:00] [INFO] received Windows console close event; shutting log-core down
[14:09:04] [INFO] received Windows console close event; shutting log-core down
[14:09:08] [INFO] received Windows console close event; shutting log-core down
[14:12:03] [INFO] received Windows console close event; shutting log-core down
[14:30:08] [INFO] received Windows console close event; shutting log-core down
[14:30:09] [INFO] received Windows console close event; shutting log-core down
[14:32:14] [INFO] received Windows console close event; shutting log-core down
[14:39:58] [INFO] received Windows console close event; shutting log-core down
[15:03:02] [INFO] received Windows console close event; shutting log-core down
[15:08:25] [INFO] received Windows console close event; shutting log-core down
[15:11:41] [INFO] received Windows console close event; shutting log-core down
[21:12:02] [INFO] received Windows console close event; shutting log-core down
[21:14:51] [INFO] received Windows console close event; shutting log-core down
